X_ext,Y_ext,X_int,Y_int,X_central,Y_central
1.0,32.0,12.0,32.0,7.0,32.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,33.0,7.0,30.0
1.0,33.0,12.0,35.0,7.0,30.0
1.0,33.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,35.0,7.0,29.0
1.0,35.0,12.0,36.0,7.0,29.0
1.0,35.0,12.0,36.0,7.0,29.0
1.0,35.0,12.0,36.0,7.0,27.0
1.0,37.0,12.0,36.0,7.0,27.0
1.0,37.0,12.0,36.0,7.0,27.0
1.0,37.0,12.0,37.0,7.0,27.0
1.0,37.0,12.0,37.0,7.0,27.0
1.0,37.0,12.0,37.0,7.0,27.0
1.0,37.0,12.0,37.0,8.0,26.0
2.0,37.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,12.0,37.0,8.0,26.0
2.0,39.0,13.0,38.0,8.0,24.0
2.0,39.0,13.0,38.0,8.0,24.0
2.0,39.0,13.0,38.0,8.0,24.0
2.0,41.0,13.0,38.0,8.0,24.0
2.0,41.0,13.0,38.0,8.0,24.0
2.0,41.0,13.0,39.0,8.0,24.0
2.0,41.0,13.0,39.0,8.0,23.0
2.0,41.0,13.0,39.0,8.0,23.0
2.0,41.0,14.0,39.0,8.0,23.0
3.0,41.0,14.0,39.0,8.0,23.0
3.0,41.0,14.0,39.0,8.0,23.0
3.0,43.0,14.0,39.0,8.0,23.0
3.0,43.0,14.0,40.0,8.0,23.0
3.0,43.0,14.0,40.0,9.0,22.0
3.0,43.0,14.0,40.0,9.0,22.0
3.0,43.0,15.0,40.0,9.0,22.0
3.0,43.0,15.0,40.0,9.0,22.0
3.0,43.0,15.0,40.0,9.0,22.0
3.0,43.0,15.0,40.0,9.0,22.0
4.0,45.0,15.0,41.0,10.0,20.0
4.0,45.0,15.0,41.0,10.0,20.0
4.0,45.0,15.0,41.0,10.0,20.0
4.0,45.0,15.0,41.0,10.0,20.0
4.0,45.0,16.0,41.0,10.0,20.0
4.0,45.0,16.0,41.0,10.0,20.0
4.0,45.0,16.0,41.0,10.0,20.0
4.0,45.0,16.0,41.0,11.0,19.0
5.0,45.0,17.0,41.0,11.0,19.0
6.0,47.0,17.0,41.0,11.0,19.0
6.0,47.0,17.0,41.0,11.0,19.0
6.0,47.0,17.0,41.0,11.0,19.0
6.0,47.0,17.0,41.0,11.0,19.0
6.0,47.0,18.0,41.0,12.0,18.0
6.0,47.0,18.0,41.0,12.0,18.0
6.0,47.0,18.0,41.0,12.0,18.0
6.0,47.0,18.0,41.0,12.0,18.0
6.0,47.0,18.0,41.0,12.0,18.0
7.0,48.0,19.0,41.0,12.0,18.0
7.0,48.0,19.0,41.0,12.0,18.0
7.0,48.0,19.0,41.0,13.0,17.0
7.0,48.0,19.0,41.0,13.0,17.0
7.0,48.0,19.0,41.0,13.0,17.0
7.0,48.0,20.0,41.0,13.0,17.0
8.0,48.0,20.0,41.0,13.0,17.0
8.0,49.0,20.0,41.0,13.0,17.0
8.0,49.0,20.0,41.0,14.0,16.0
9.0,49.0,20.0,41.0,14.0,16.0
9.0,49.0,21.0,41.0,14.0,16.0
9.0,49.0,21.0,41.0,14.0,16.0
9.0,49.0,21.0,41.0,14.0,16.0
9.0,49.0,21.0,41.0,14.0,16.0
9.0,49.0,21.0,41.0,14.0,16.0
10.0,50.0,22.0,40.0,15.0,16.0
10.0,50.0,22.0,40.0,15.0,16.0
10.0,50.0,22.0,40.0,15.0,16.0
11.0,50.0,22.0,40.0,15.0,16.0
11.0,50.0,22.0,40.0,15.0,16.0
11.0,50.0,23.0,40.0,15.0,16.0
11.0,50.0,23.0,40.0,17.0,15.0
11.0,50.0,23.0,40.0,17.0,15.0
12.0,51.0,23.0,40.0,17.0,15.0
12.0,51.0,23.0,40.0,17.0,15.0
12.0,51.0,24.0,39.0,17.0,15.0
14.0,51.0,24.0,39.0,17.0,15.0
14.0,51.0,24.0,39.0,17.0,15.0
14.0,51.0,24.0,39.0,18.0,15.0
14.0,51.0,24.0,39.0,18.0,15.0
14.0,51.0,24.0,39.0,18.0,15.0
14.0,51.0,24.0,39.0,18.0,15.0
14.0,51.0,26.0,39.0,18.0,15.0
14.0,51.0,26.0,39.0,18.0,15.0
16.0,52.0,26.0,39.0,20.0,16.0
16.0,52.0,26.0,39.0,20.0,16.0
16.0,52.0,26.0,39.0,20.0,16.0
16.0,52.0,26.0,39.0,20.0,16.0
16.0,52.0,26.0,39.0,20.0,16.0
16.0,52.0,26.0,39.0,20.0,16.0
16.0,52.0,26.0,39.0,20.0,16.0
16.0,52.0,27.0,38.0,21.0,16.0
18.0,52.0,27.0,38.0,21.0,16.0
18.0,52.0,27.0,38.0,21.0,16.0
18.0,52.0,27.0,38.0,21.0,16.0
18.0,52.0,27.0,38.0,21.0,16.0
18.0,52.0,27.0,38.0,21.0,16.0
18.0,52.0,27.0,38.0,23.0,16.0
18.0,52.0,27.0,38.0,23.0,16.0
20.0,52.0,28.0,38.0,23.0,16.0
20.0,52.0,28.0,38.0,23.0,16.0
20.0,52.0,29.0,37.0,23.0,16.0
20.0,52.0,29.0,37.0,23.0,16.0
20.0,52.0,29.0,37.0,23.0,16.0
20.0,52.0,29.0,37.0,24.0,16.0
20.0,52.0,29.0,37.0,24.0,16.0
22.0,52.0,29.0,37.0,24.0,16.0
22.0,52.0,29.0,37.0,24.0,16.0
22.0,52.0,29.0,37.0,24.0,16.0
22.0,52.0,30.0,37.0,24.0,16.0
22.0,52.0,30.0,37.0,24.0,16.0
22.0,52.0,30.0,37.0,26.0,17.0
22.0,51.0,31.0,37.0,26.0,17.0
22.0,51.0,31.0,37.0,26.0,17.0
24.0,51.0,31.0,37.0,26.0,17.0
24.0,51.0,31.0,37.0,26.0,17.0
24.0,51.0,31.0,37.0,26.0,17.0
24.0,51.0,31.0,37.0,27.0,17.0
24.0,51.0,31.0,37.0,27.0,17.0
24.0,51.0,31.0,37.0,27.0,17.0
24.0,51.0,32.0,37.0,27.0,17.0
24.0,51.0,32.0,37.0,27.0,17.0
26.0,51.0,32.0,37.0,27.0,17.0
26.0,51.0,33.0,37.0,27.0,17.0
26.0,51.0,33.0,37.0,29.0,17.0
26.0,51.0,33.0,37.0,29.0,17.0
26.0,51.0,33.0,37.0,29.0,17.0
26.0,51.0,33.0,37.0,29.0,17.0
26.0,50.0,33.0,37.0,29.0,17.0
26.0,50.0,33.0,37.0,29.0,17.0
27.0,50.0,33.0,37.0,30.0,17.0
27.0,50.0,34.0,37.0,30.0,17.0
27.0,50.0,34.0,37.0,30.0,17.0
27.0,50.0,34.0,37.0,30.0,17.0
27.0,50.0,35.0,37.0,30.0,17.0
27.0,50.0,35.0,37.0,30.0,17.0
28.0,50.0,35.0,37.0,30.0,17.0
29.0,49.0,35.0,37.0,32.0,17.0
29.0,49.0,35.0,37.0,32.0,17.0
29.0,49.0,35.0,37.0,32.0,17.0
29.0,49.0,35.0,37.0,32.0,17.0
29.0,49.0,36.0,37.0,32.0,17.0
29.0,49.0,36.0,37.0,32.0,17.0
30.0,48.0,36.0,37.0,33.0,16.0
30.0,48.0,37.0,37.0,33.0,16.0
30.0,48.0,37.0,37.0,33.0,16.0
30.0,48.0,37.0,37.0,33.0,16.0
30.0,48.0,37.0,37.0,33.0,16.0
31.0,48.0,37.0,37.0,33.0,16.0
31.0,48.0,37.0,37.0,33.0,16.0
31.0,48.0,37.0,37.0,35.0,15.0
31.0,48.0,38.0,37.0,35.0,15.0
32.0,48.0,38.0,37.0,35.0,15.0
32.0,48.0,39.0,37.0,35.0,15.0
32.0,48.0,39.0,37.0,35.0,15.0
32.0,48.0,39.0,37.0,35.0,15.0
33.0,47.0,39.0,37.0,36.0,15.0
33.0,47.0,39.0,37.0,36.0,15.0
33.0,47.0,39.0,37.0,36.0,15.0
34.0,47.0,39.0,37.0,36.0,15.0
34.0,47.0,39.0,37.0,36.0,15.0
34.0,47.0,39.0,37.0,36.0,15.0
35.0,47.0,41.0,38.0,36.0,15.0
35.0,47.0,41.0,38.0,37.0,13.0
35.0,47.0,41.0,38.0,37.0,13.0
35.0,47.0,41.0,38.0,37.0,13.0
36.0,47.0,41.0,38.0,37.0,13.0
36.0,47.0,41.0,38.0,37.0,13.0
36.0,47.0,41.0,38.0,37.0,13.0
36.0,47.0,41.0,38.0,38.0,12.0
37.0,48.0,41.0,38.0,38.0,12.0
37.0,48.0,43.0,38.0,38.0,12.0
37.0,48.0,43.0,38.0,38.0,12.0
37.0,48.0,43.0,38.0,38.0,12.0
37.0,48.0,43.0,38.0,38.0,12.0
39.0,48.0,43.0,38.0,38.0,12.0
39.0,48.0,43.0,38.0,39.0,11.0
39.0,48.0,43.0,38.0,39.0,11.0
39.0,48.0,43.0,38.0,39.0,11.0
39.0,48.0,43.0,38.0,39.0,11.0
40.0,48.0,43.0,38.0,39.0,11.0
40.0,48.0,45.0,39.0,39.0,11.0
40.0,48.0,45.0,39.0,40.0,10.0
40.0,48.0,45.0,39.0,40.0,10.0
40.0,49.0,45.0,39.0,40.0,10.0
40.0,49.0,45.0,39.0,40.0,10.0
40.0,49.0,45.0,39.0,40.0,10.0
41.0,49.0,45.0,39.0,40.0,10.0
41.0,49.0,45.0,39.0,40.0,10.0
41.0,49.0,45.0,39.0,41.0,9.0
41.0,49.0,45.0,39.0,41.0,9.0
42.0,50.0,45.0,39.0,41.0,9.0
42.0,50.0,47.0,40.0,41.0,9.0
42.0,50.0,47.0,40.0,41.0,9.0
42.0,50.0,47.0,40.0,41.0,9.0
42.0,50.0,47.0,40.0,42.0,8.0
42.0,51.0,47.0,40.0,42.0,8.0
42.0,51.0,47.0,40.0,42.0,8.0
42.0,51.0,47.0,40.0,42.0,8.0
42.0,51.0,47.0,40.0,42.0,8.0
43.0,52.0,47.0,40.0,42.0,8.0
43.0,52.0,47.0,40.0,42.0,8.0
43.0,52.0,47.0,40.0,43.0,7.0
43.0,52.0,47.0,40.0,43.0,7.0
43.0,52.0,47.0,40.0,43.0,7.0
43.0,54.0,47.0,40.0,43.0,7.0
43.0,54.0,49.0,41.0,43.0,7.0
43.0,54.0,49.0,41.0,43.0,7.0
43.0,54.0,49.0,41.0,45.0,7.0
43.0,54.0,49.0,41.0,45.0,7.0
43.0,54.0,49.0,41.0,45.0,7.0
44.0,55.0,49.0,41.0,45.0,7.0
44.0,55.0,49.0,41.0,45.0,7.0
44.0,55.0,49.0,42.0,45.0,7.0
44.0,55.0,49.0,42.0,45.0,7.0
44.0,55.0,49.0,42.0,46.0,6.0
44.0,55.0,49.0,42.0,46.0,6.0
44.0,56.0,49.0,42.0,46.0,6.0
45.0,57.0,49.0,42.0,46.0,6.0
45.0,57.0,50.0,43.0,46.0,6.0
45.0,57.0,50.0,43.0,46.0,6.0
45.0,57.0,50.0,43.0,48.0,6.0
45.0,57.0,50.0,43.0,48.0,6.0
45.0,57.0,50.0,43.0,48.0,6.0
45.0,57.0,50.0,43.0,48.0,6.0
46.0,59.0,50.0,43.0,48.0,6.0
46.0,59.0,51.0,44.0,48.0,6.0
46.0,59.0,51.0,44.0,48.0,6.0
46.0,59.0,51.0,44.0,49.0,5.0
46.0,59.0,51.0,44.0,49.0,5.0
46.0,59.0,51.0,44.0,49.0,5.0
46.0,59.0,52.0,45.0,49.0,5.0
46.0,59.0,52.0,45.0,49.0,5.0
47.0,60.0,52.0,45.0,49.0,5.0
47.0,60.0,52.0,45.0,49.0,5.0
47.0,60.0,52.0,45.0,51.0,5.0
47.0,60.0,52.0,45.0,51.0,5.0
47.0,60.0,52.0,45.0,51.0,5.0
47.0,61.0,52.0,46.0,51.0,5.0
47.0,61.0,52.0,46.0,51.0,5.0
48.0,62.0,52.0,46.0,51.0,5.0
48.0,62.0,52.0,47.0,52.0,5.0
48.0,62.0,52.0,47.0,52.0,5.0
48.0,62.0,52.0,47.0,52.0,5.0
48.0,62.0,52.0,47.0,52.0,5.0
48.0,62.0,52.0,47.0,52.0,5.0
48.0,62.0,52.0,47.0,52.0,5.0
48.0,62.0,52.0,47.0,52.0,5.0
49.0,63.0,52.0,47.0,54.0,6.0
49.0,63.0,52.0,47.0,54.0,6.0
49.0,63.0,53.0,49.0,54.0,6.0
49.0,63.0,53.0,49.0,54.0,6.0
49.0,63.0,53.0,49.0,54.0,6.0
49.0,63.0,53.0,49.0,54.0,6.0
49.0,64.0,53.0,49.0,55.0,6.0
51.0,65.0,53.0,49.0,55.0,6.0
51.0,65.0,53.0,49.0,55.0,6.0
51.0,65.0,53.0,49.0,55.0,6.0
51.0,65.0,53.0,50.0,55.0,6.0
51.0,65.0,53.0,50.0,55.0,6.0
51.0,65.0,53.0,50.0,55.0,6.0
51.0,65.0,53.0,50.0,56.0,6.0
51.0,65.0,53.0,50.0,56.0,6.0
51.0,65.0,53.0,50.0,56.0,6.0
52.0,66.0,53.0,50.0,56.0,6.0
52.0,66.0,54.0,52.0,56.0,6.0
52.0,66.0,54.0,52.0,56.0,6.0
52.0,66.0,54.0,52.0,58.0,7.0
52.0,66.0,54.0,52.0,58.0,7.0
53.0,66.0,54.0,52.0,58.0,7.0
53.0,66.0,54.0,52.0,58.0,7.0
53.0,66.0,54.0,52.0,58.0,7.0
54.0,67.0,54.0,53.0,58.0,7.0
54.0,67.0,54.0,53.0,58.0,7.0
54.0,67.0,54.0,53.0,59.0,8.0
54.0,67.0,54.0,53.0,59.0,8.0
54.0,67.0,54.0,53.0,59.0,8.0
54.0,67.0,54.0,53.0,59.0,8.0
55.0,67.0,55.0,54.0,59.0,8.0
56.0,68.0,55.0,54.0,59.0,8.0
56.0,68.0,55.0,54.0,60.0,9.0
56.0,68.0,55.0,54.0,60.0,9.0
56.0,68.0,55.0,54.0,60.0,9.0
56.0,68.0,55.0,54.0,60.0,9.0
56.0,68.0,55.0,54.0,60.0,9.0
56.0,68.0,55.0,54.0,60.0,9.0
58.0,69.0,55.0,54.0,60.0,9.0
58.0,69.0,55.0,54.0,62.0,9.0
58.0,69.0,55.0,54.0,62.0,9.0
58.0,69.0,56.0,55.0,62.0,9.0
58.0,69.0,56.0,55.0,62.0,9.0
58.0,69.0,56.0,55.0,62.0,9.0
58.0,69.0,56.0,55.0,62.0,9.0
59.0,69.0,56.0,55.0,63.0,10.0
59.0,69.0,57.0,56.0,63.0,10.0
59.0,69.0,57.0,56.0,63.0,10.0
59.0,69.0,57.0,56.0,63.0,10.0
59.0,69.0,57.0,56.0,63.0,10.0
60.0,69.0,57.0,56.0,63.0,10.0
61.0,69.0,57.0,57.0,63.0,10.0
61.0,69.0,57.0,57.0,64.0,11.0
61.0,69.0,57.0,57.0,64.0,11.0
61.0,69.0,57.0,57.0,64.0,11.0
61.0,69.0,57.0,57.0,64.0,11.0
61.0,69.0,58.0,57.0,64.0,11.0
61.0,70.0,58.0,57.0,64.0,11.0
63.0,70.0,58.0,57.0,65.0,12.0
63.0,70.0,58.0,57.0,65.0,12.0
63.0,70.0,59.0,58.0,65.0,12.0
63.0,70.0,59.0,58.0,65.0,12.0
63.0,70.0,59.0,58.0,65.0,12.0
63.0,70.0,59.0,58.0,65.0,12.0
63.0,70.0,59.0,58.0,65.0,12.0
65.0,70.0,60.0,58.0,66.0,13.0
65.0,70.0,60.0,58.0,66.0,13.0
65.0,70.0,60.0,58.0,66.0,13.0
65.0,70.0,60.0,58.0,66.0,13.0
65.0,70.0,60.0,58.0,66.0,13.0
65.0,70.0,60.0,58.0,66.0,13.0
66.0,70.0,61.0,58.0,67.0,14.0
66.0,70.0,61.0,58.0,67.0,14.0
66.0,70.0,61.0,58.0,67.0,14.0
66.0,70.0,61.0,58.0,67.0,14.0
66.0,70.0,61.0,58.0,67.0,14.0
66.0,70.0,61.0,58.0,67.0,14.0
67.0,70.0,62.0,59.0,67.0,14.0
68.0,70.0,62.0,59.0,68.0,16.0
68.0,70.0,62.0,59.0,68.0,16.0
68.0,70.0,62.0,59.0,68.0,16.0
68.0,70.0,62.0,59.0,68.0,16.0
68.0,70.0,62.0,59.0,68.0,16.0
68.0,70.0,64.0,59.0,68.0,16.0
70.0,70.0,64.0,59.0,69.0,17.0
70.0,70.0,64.0,59.0,69.0,17.0
70.0,70.0,64.0,59.0,69.0,17.0
70.0,70.0,64.0,59.0,69.0,17.0
70.0,70.0,64.0,59.0,69.0,17.0
70.0,70.0,64.0,59.0,69.0,17.0
70.0,70.0,65.0,59.0,69.0,17.0
72.0,70.0,65.0,59.0,70.0,18.0
72.0,70.0,65.0,59.0,70.0,18.0
72.0,70.0,65.0,59.0,70.0,18.0
72.0,70.0,65.0,59.0,70.0,18.0
72.0,70.0,65.0,59.0,70.0,18.0
72.0,70.0,66.0,60.0,70.0,18.0
73.0,70.0,66.0,60.0,70.0,18.0
73.0,70.0,66.0,60.0,71.0,19.0
73.0,70.0,66.0,60.0,71.0,19.0
73.0,70.0,66.0,60.0,71.0,19.0
73.0,70.0,66.0,60.0,71.0,19.0
73.0,70.0,67.0,60.0,71.0,19.0
73.0,70.0,67.0,60.0,71.0,19.0
75.0,70.0,67.0,60.0,72.0,20.0
75.0,70.0,67.0,60.0,72.0,20.0
75.0,70.0,67.0,60.0,72.0,20.0
75.0,70.0,67.0,60.0,72.0,20.0
75.0,70.0,67.0,60.0,72.0,20.0
75.0,70.0,69.0,60.0,72.0,20.0
77.0,70.0,69.0,60.0,72.0,20.0
77.0,70.0,69.0,60.0,73.0,21.0
77.0,70.0,69.0,60.0,73.0,21.0
77.0,70.0,69.0,60.0,73.0,21.0
77.0,70.0,69.0,60.0,73.0,21.0
77.0,70.0,70.0,60.0,73.0,21.0
77.0,70.0,70.0,60.0,73.0,21.0
79.0,70.0,70.0,60.0,74.0,23.0
79.0,70.0,70.0,60.0,74.0,23.0
79.0,70.0,70.0,60.0,74.0,23.0
79.0,70.0,70.0,60.0,74.0,23.0
79.0,70.0,70.0,60.0,74.0,23.0
79.0,70.0,71.0,60.0,74.0,23.0
79.0,69.0,71.0,60.0,74.0,23.0
80.0,69.0,71.0,60.0,75.0,24.0
80.0,69.0,71.0,60.0,75.0,24.0
80.0,69.0,71.0,60.0,75.0,24.0
80.0,69.0,71.0,60.0,75.0,24.0
80.0,69.0,71.0,60.0,75.0,24.0
80.0,69.0,73.0,60.0,75.0,24.0
81.0,69.0,73.0,60.0,76.0,25.0
82.0,68.0,73.0,60.0,76.0,25.0
82.0,68.0,73.0,60.0,76.0,25.0
82.0,68.0,73.0,60.0,76.0,25.0
82.0,68.0,73.0,60.0,76.0,25.0
82.0,68.0,74.0,60.0,76.0,25.0
82.0,68.0,74.0,60.0,76.0,25.0
83.0,68.0,74.0,60.0,77.0,26.0
83.0,68.0,74.0,60.0,77.0,26.0
84.0,68.0,74.0,60.0,77.0,26.0
84.0,68.0,74.0,60.0,77.0,26.0
84.0,68.0,74.0,60.0,77.0,26.0
84.0,68.0,75.0,59.0,77.0,26.0
84.0,68.0,75.0,59.0,77.0,28.0
84.0,68.0,75.0,59.0,77.0,28.0
84.0,67.0,75.0,59.0,77.0,28.0
84.0,67.0,75.0,59.0,77.0,28.0
86.0,67.0,75.0,59.0,77.0,28.0
86.0,67.0,76.0,59.0,77.0,28.0
86.0,67.0,76.0,59.0,77.0,28.0
86.0,67.0,76.0,59.0,78.0,29.0
86.0,67.0,76.0,59.0,78.0,29.0
86.0,67.0,76.0,59.0,78.0,29.0
86.0,66.0,76.0,59.0,78.0,29.0
86.0,66.0,77.0,59.0,78.0,29.0
88.0,65.0,77.0,59.0,78.0,29.0
88.0,65.0,77.0,59.0,79.0,30.0
88.0,65.0,77.0,59.0,79.0,30.0
88.0,65.0,77.0,59.0,79.0,30.0
88.0,65.0,77.0,59.0,79.0,30.0
88.0,65.0,78.0,58.0,79.0,30.0
88.0,65.0,78.0,58.0,79.0,30.0
88.0,65.0,78.0,58.0,79.0,30.0
88.0,65.0,78.0,58.0,80.0,31.0
89.0,64.0,78.0,58.0,80.0,31.0
89.0,64.0,79.0,58.0,80.0,31.0
89.0,64.0,79.0,58.0,80.0,31.0
89.0,64.0,79.0,58.0,80.0,31.0
89.0,64.0,79.0,58.0,80.0,31.0
89.0,64.0,79.0,58.0,80.0,33.0
90.0,63.0,80.0,58.0,80.0,33.0
90.0,63.0,80.0,58.0,80.0,33.0
90.0,63.0,80.0,58.0,80.0,33.0
90.0,63.0,80.0,58.0,80.0,33.0
91.0,61.0,80.0,58.0,80.0,33.0
91.0,61.0,81.0,57.0,80.0,33.0
91.0,61.0,81.0,57.0,81.0,34.0
91.0,61.0,81.0,57.0,81.0,34.0
91.0,61.0,81.0,57.0,81.0,34.0
91.0,61.0,81.0,57.0,81.0,34.0
91.0,61.0,81.0,57.0,81.0,34.0
91.0,61.0,81.0,56.0,81.0,34.0
91.0,61.0,81.0,56.0,82.0,36.0
92.0,59.0,81.0,56.0,82.0,36.0
92.0,59.0,81.0,56.0,82.0,36.0
92.0,59.0,81.0,56.0,82.0,36.0
92.0,59.0,82.0,55.0,82.0,36.0
92.0,59.0,82.0,55.0,82.0,36.0
92.0,59.0,82.0,55.0,82.0,36.0
92.0,59.0,82.0,55.0,82.0,37.0
92.0,59.0,82.0,54.0,82.0,37.0
92.0,58.0,82.0,54.0,82.0,37.0
92.0,57.0,82.0,54.0,82.0,37.0
92.0,57.0,82.0,54.0,82.0,37.0
92.0,57.0,82.0,54.0,82.0,37.0
92.0,57.0,82.0,53.0,83.0,38.0
92.0,57.0,82.0,53.0,83.0,38.0
92.0,57.0,82.0,53.0,83.0,38.0
92.0,56.0,82.0,53.0,83.0,38.0
92.0,56.0,82.0,53.0,83.0,38.0
92.0,55.0,82.0,53.0,83.0,38.0
92.0,55.0,82.0,52.0,83.0,38.0
92.0,55.0,82.0,52.0,84.0,40.0
92.0,55.0,82.0,52.0,84.0,40.0
92.0,55.0,82.0,52.0,84.0,40.0
92.0,55.0,82.0,52.0,84.0,40.0
92.0,54.0,81.0,51.0,84.0,40.0
92.0,54.0,81.0,51.0,84.0,40.0
92.0,53.0,81.0,51.0,84.0,40.0
92.0,53.0,81.0,51.0,84.0,41.0
92.0,53.0,81.0,51.0,84.0,41.0
92.0,53.0,81.0,51.0,84.0,41.0
92.0,53.0,81.0,51.0,84.0,41.0
92.0,52.0,81.0,49.0,84.0,41.0
92.0,52.0,81.0,49.0,84.0,41.0
92.0,51.0,81.0,49.0,85.0,43.0
92.0,51.0,81.0,49.0,85.0,43.0
92.0,51.0,81.0,49.0,85.0,43.0
92.0,51.0,81.0,49.0,85.0,43.0
92.0,51.0,81.0,48.0,85.0,43.0
92.0,51.0,81.0,48.0,85.0,43.0
92.0,51.0,81.0,48.0,85.0,43.0
92.0,49.0,81.0,48.0,85.0,44.0
92.0,49.0,81.0,48.0,85.0,44.0
92.0,49.0,81.0,48.0,85.0,44.0
92.0,49.0,81.0,48.0,85.0,44.0
92.0,49.0,81.0,47.0,85.0,44.0
92.0,49.0,81.0,47.0,85.0,44.0
92.0,47.0,81.0,47.0,86.0,45.0
92.0,47.0,81.0,47.0,86.0,45.0
92.0,47.0,81.0,47.0,86.0,45.0
92.0,47.0,81.0,47.0,86.0,45.0
92.0,47.0,80.0,46.0,86.0,45.0
92.0,47.0,80.0,46.0,86.0,45.0
92.0,47.0,80.0,46.0,86.0,45.0
91.0,46.0,80.0,46.0,86.0,47.0
